id;postal_code;city;state_province;country
1;Secured productize;South Ralphmouth;payment olive Ghana;FRANCE
2;users Savings Account;Hauckmouth;Licensed Plastic Hat;LUXEMBOURG
3;Peso Uruguayo Uruguay Peso en Unidades Indexadas Wisconsin Frozen;Schroedertown;Falkland Islands (Malvinas) cross-platform Legacy;ITALIA
4;Secured virtual District;Candiceberg;Representative Car Granite;SERBIA
5;Outdoors;Brennanville;Steel SCSI;FRANCE
6;sky blue;Maximilliahaven;Sports Licensed European Unit of Account 17(E.U.A.-17);SWITZERLAND
7;Accounts Mali Orchestrator;West Anabeltown;JSON extend Fully-configurable;ITALIA
8;EXE Illinois;North Ewald;Rubber compelling Algeria;SWITZERLAND
9;asynchronous invoice;Corkerymouth;impactful infomediaries Martinique;AUSTRIA
10;synthesize;Kearaport;JBOD;GERMANY
